Measure;Description;Unit
Date Time;Date and time of measurement;datetime
NOx;Concentration of oxides of nitrogen;μg/m3
NO2;Concentration of nitrogen dioxide;μg/m3
NO;Concentration of nitric oxide;μg/m3
SiteID;Site ID for the station;integer
PM10;Concentration of particulate matter <10 micron diameter;μg/m3
NVPM10;Concentration of non - volatile particulate matter <10 micron diameter;μg/m3
VPM10;Concentration of volatile particulate matter <10 micron diameter;μg/m3
NVPM2.5;Concentration of non volatile particulate matter <2.5 micron diameter;μg/m3
PM2.5;Concentration of particulate matter <2.5 micron diameter;μg/m3
VPM2.5;Concentration of volatile particulate matter <2.5 micron diameter;μg/m3
CO;Concentration of carbon monoxide;mg/m3
O3;Concentration of ozone;μg/m3
SO2;Concentration of sulphur dioxide;μg/m3
Temperature;Air temperature;°C
RH;Relative Humidity;%
Air Pressure;Air Pressure;mbar
Location;Text description of location;text
geo_point_2d;Latitude and longitude;geo point
DateStart;The date monitoring started;datetime
DateEnd;The date monitoring ended;datetime
Current;Is the monitor currently operating;text
Instrument Type;Classification of the instrument;text